Name,Retail Price,Wholesale Price,Quantity
Floor Jali 5'' Cut,30,19.0,317
Floor Jali 5'' Cut Mittal,15,10.0,288
Floor Jali 5'' Locking  Slice,0,0.0,75
Floor Jali 5'' Locking Cut Round,80,40.0,64
Floor Jali 5'' Locking Cut Squire,100,60.0,57
Floor Jali 5'' Locking Cut Wi.Fi,100,50.0,13
Floor Jali 5'' Locking Plain Wi.Fi,100,50.0,55
Floor Jali 5'' plain,30,19.0,428
Floor Jali 5'' Plain Mittal,15,10.0,1624
Floor Jali 5/5,70,43.0,114
Floor Jali 6'',50,30.0,24
Floor Jali 8/8,180,100.0,50
Floor Jali Double Hole,40,30.0,0
Glassi Concealed Brass,150,120.0,37
Glassi Concealed SS,90,50.0,3
Grab Bar 12'',260,230.0,0
Grab Bar 15'',300,260.0,7
Grab Bar 18'',340,290.0,4
Grab Bar 9'',220,200.0,14
Hand Shower Brass,450,350.0,10
Hand Shower Multy Flow,300,130.0,25
Handle Aria,150,120.0,19
Handle B6,100,80.0,51
Handle Bat,120,90.0,50
Handle Corsa,120,80.0,0
handle jeg.,200,180.0,6
Handle Diverter,300,300.0,5
Handle Jeg. Imp.,150,100.0,5
Handle Jeg. Regular,200,180.0,13
Handle Misty,90,70.0,97
Handle Oreo,70,50.0,21
Handle Paras,200,200.0,12
handle tamatar Imp.,100,50.0,43
Handle Stag Gol,160,160.0,6
Handle Tamatar,130,110.0,45
Handle Tringle,80,60.0,8
Handle Turbo,80,60.0,7
Health Faucet Gun Avs,80,50.0,71
Health Faucet Gun Dolphin,300,250.0,16
Health Faucet Gun Jag..,180,100.0,57
Health Faucet Gun Mahindra,250,220.0,63
Health Faucet Gun Nova,220,180.0,68
Health Faucet Gun Oskar,350,300.0,3
Health Faucet Gun Raja,350,260.0,5
Health Faucet Gun Rozor,300,250.0,37
Health Faucet Gun Squire,300,280.0,3
Health Faucet Set Avs,280,180.0,10
Health Faucet Set Dolphin,0,0.0,0
Health Faucet Set Jag.,450,380.0,8
Health Faucet Set Jag.,450,310.0,-8
Health Faucet Set Mahindra,520,420.0,0
Health Faucet Set Nova,480,350.0,11
Health Faucet Set Oskar,600,500.0,0
Health Faucet Set Ozzo,200,100.0,84
Health Faucet Set Pac,0,0.0,0
Health Faucet Set Roza,600,0.0,0
Health Faucet Set Tip Top,350,250.0,0
Hex Nippal Psg,60,40.0,92
Hex Nippal SS,30,12.0,1374
Hinges One Pcs,50,30.0,313
Hinges Tip Top Classic,50,30.0,74
Hook For Health Faucet,40,25.0,22
Hook For Health Faucet Abs,20,10.0,370
Hook For Health Faucet Brass,60,43.0,195
Jet American 1.5Mtr Heavy,300,220.0,16
Jet American 1Mtr Heavy,280,200.0,90
Jet American 1Mtr Lite,140,80.0,99
Jet Multy 1.5Mtr Heavy,200,150.0,37
Jet Multy 1Mtr Heavy,180,130.0,160
Jet Multy 1Mtr Lite,130,80.0,36
Khoonti 10Page,180,120.0,0
Khoonti 2Page,140,120.0,16
Khoonti 6Pege,120,72.0,205
Khoonti 8Pege,150,96.0,2
Khoonti Emmon 6Pegs,200,180.0,0
Khoonti Emmron 4Pegs,140,132.0,28
Leg For Center Hole Mixer 12'',250,200.0,14
Leg For Center Hole Mixer 3'',60,45.0,28
Leg For Center Hole Mixer 4'',80,55.0,46
Leg For Center Hole Mixer 6'',150,100.0,24
Leg For Wall Mixer Brass,200,150.0,13
Leg For Wall Mixer Parko,280,230.0,9
Leg For Wall Mixer SS,150,80.0,14
Lift Cock,160,140.0,8
LipkaCockroach jali cut ,525,480.0,24
LipkaCockroach jali plain,525,480.0,65
LipkaFloor Jali 5'' Cut ,70,57.0,89
LipkaFloor Jali 5'' Locking Cut  Round,140,118.0,94
LipkaFloor Jali 5'' Locking Cut  squir,325,294.0,0
LipkaFloor Jali 5'' Locking plain  Round,140,118.0,180
LipkaFloor Jali 5'' Locking Plain  Sqr,325,294.0,80
LipkaFloor Jali 5'' Plain ,70,57.0,180
Long Body China,150,120.0,91
Mirror 16/20,350,280.0,12
Mirror 24/18,450,390.0,21
Mirror 24/30,750,650.0,1
